seed,profile,supervised,outcome,success,unsafe_touchdown,aborted,duration_s,final_x_error,final_vx,final_vz,max_risk,mean_risk,interventions,dropouts,architecture
81481756,mixed,True,unsafe_touchdown,False,True,False,26.55,0.6353934093740367,-0.07504599101230344,-0.30565918241686035,0.6393910043095923,0.5330551705408834,47,134,aegis_v2
891430330,mixed,False,unsafe_touchdown,False,True,False,27.900000000000002,0.6060903637818537,0.03208233755397859,-0.19894635918061251,0.9053803131711694,0.6510713943282831,0,121,baseline
891430330,mixed,True,safe_abort,False,False,True,27.8,0.6081443984842265,0.040944887034163505,-0.10809692291048048,0.9053803131711694,0.651096143823883,124,121,aegis_v1
891430330,mixed,True,success,True,False,False,29.55,0.43323234941430805,0.061912566495719565,-0.2332689447181671,0.6244140423527553,0.5250290223484673,55,131,aegis_v2
1382555062,mixed,False,unsafe_touchdown,False,True,False,24.950000000000003,0.6992094238481875,-0.03600103653976509,-0.2025555758975853,0.9585,0.6668435970594643,0,124,baseline
1382555062,mixed,True,safe_abort,False,False,True,24.8,0.6942606920733229,-0.020167785710451448,-0.2550176116908691,0.9585,0.6663355882801242,144,122,aegis_v1
1382555062,mixed,True,unsafe_touchdown,False,True,False,27.650000000000002,0.6352815406146808,0.14018396312013218,-0.2091967288035793,0.7169024172057913,0.5392509617045839,93,140,aegis_v2
1146174975,mixed,False,unsafe_touchdown,False,True,False,28.400000000000002,0.656217964682119,0.08184870919679238,-0.21843229940026937,0.928741568362781,0.6579197091528383,0,131,baseline
1146174975,mixed,True,safe_abort,False,False,True,29.25,0.5819557450615931,0.13099577110509633,-0.1517681360473744,0.928741568362781,0.6573561827140448,145,133,aegis_v1
1146174975,mixed,True,unsafe_touchdown,False,True,False,33.75,0.7812777364159915,-0.1626818284748641,-0.35124378866977723,0.6364951516905218,0.5329215490656678,128,162,aegis_v2
1481910067,mixed,False,success,True,False,False,22.1,0.280088519114766,0.06249783197284718,-0.23847455338608894,0.9262895010913956,0.6511211012562604,0,86,baseline
1481910067,mixed,True,safe_abort,False,False,True,19.55,0.730046223289221,0.11937795387584652,-0.1396312571040126,0.9262895010913956,0.6510339390773257,95,75,aegis_v1
1481910067,mixed,True,success,True,False,False,22.650000000000002,0.3213751448327652,-0.17726989447069644,-0.2947761857633897,0.6369039764396576,0.5261995151306115,19,88,aegis_v2
1288128038,mixed,False,unsafe_touchdown,False,True,False,26.55,0.7250077468591112,-0.0072610932492861505,-0.390725637728202,0.9103515065910077,0.651828234296479,0,110,baseline
1288128038,mixed,True,safe_abort,False,False,True,25.1,0.64973619871846,-0.141004606500403,-0.1902524263726514,0.9103515065910077,0.6499187081099289,110,99,aegis_v1
1288128038,mixed,True,success,True,False,False,29.900000000000002,0.2780402886626711,-0.0567404405892637,-0.2710930986091829,0.6440198270819666,0.5300169106613754,99,124,aegis_v2
1321601163,mixed,False,success,True,False,False,30.900000000000002,0.42705243998304115,-0.047194279232164495,-0.24828813394661803,0.919901818756813,0.6534609220702713,0,126,baseline
1321601163,mixed,True,safe_abort,False,False,True,31.400000000000002,0.4630265747743221,-0.05169565585934962,-0.16596110064604463,0.919901818756813,0.6541484276380779,148,131,aegis_v1
1321601163,mixed,True,unsafe_touchdown,False,True,False,31.5,0.5080840433268823,-0.1492335677349997,-0.25502197600045384,0.6193535713699756,0.530925382532441,14,131,aegis_v2
1220307759,mixed,False,unsafe_touchdown,False,True,False,23.25,0.562557583892755,-0.24153392671981136,-0.26579066190278317,0.9203198971728671,0.6605339014481114,0,99,baseline
1220307759,mixed,True,safe_abort,False,False,True,19.6,0.6204452027876437,0.13007575616068381,-0.2471819335628734,0.9203198971728671,0.6617052210053417,104,83,aegis_v1
1220307759,mixed,True,unsafe_touchdown,False,True,False,23.150000000000002,0.5519278653058022,-0.22922633437633705,-0.23488698009257478,0.6430704116630213,0.5337031096258271,10,99,aegis_v2
1701227055,mixed,False,unsafe_touchdown,False,True,False,29.900000000000002,0.6808696880605903,-0.08131884564833047,-0.2450772491935427,0.9533994709574455,0.6556357665725402,0,132,baseline
1701227055,mixed,True,safe_abort,False,False,True,30.1,0.6891419173952339,-0.07107982101584037,-0.21005215130891772,0.9533994709574455,0.6560200797564696,151,134,aegis_v1
1701227055,mixed,True,unsafe_touchdown,False,True,False,31.35,0.6786683906887593,-0.12028281451617548,-0.2204862663371815,0.639585124298405,0.5325497948263307,55,141,aegis_v2
529320003,mixed,False,unsafe_touchdown,False,True,False,28.900000000000002,0.46985785338898634,0.20226866129708052,-0.33683907719290473,0.887698116199023,0.6536950131823837,0,128,baseline
529320003,mixed,True,safe_abort,False,False,True,29.1,0.4585197574683107,0.0739031207025776,-0.289991133736725,0.9029367902263014,0.654355397711232,138,130,aegis_v1
529320003,mixed,True,unsafe_touchdown,False,True,False,30.55,0.46733180394143925,-0.06989471524091194,-0.18752129531196626,0.6354359991278558,0.5285666977045719,40,139,aegis_v2
186174124,mixed,False,success,True,False,False,20.950000000000003,0.3956761624269266,0.02475815751120239,-0.275466923211994,0.9392785898678762,0.6602520966488686,0,90,baseline
186174124,mixed,True,safe_abort,False,False,True,19.900000000000002,0.48263468403728316,0.1103009919204746,-0.12765253750782546,0.9392785898678762,0.6620358919374555,112,88,aegis_v1
186174124,mixed,True,success,True,False,False,21.450000000000003,0.39817390557166343,-0.015097863314168129,-0.30370586012514705,0.6436921191287862,0.5352425251293724,25,95,aegis_v2
485986947,mixed,False,unsafe_touchdown,False,True,False,25.25,0.8034510559612319,-0.15060411052312106,-0.2624468493360294,0.9035778216242678,0.6511443525584997,0,101,baseline
485986947,mixed,True,safe_abort,False,False,True,24.450000000000003,0.6573240491088839,-0.24174023824803098,-0.27190421726142244,0.9035778216242678,0.6510379028726052,105,97,aegis_v1
485986947,mixed,True,unsafe_touchdown,False,True,False,26.450000000000003,0.9056087857425069,0.03349985144128573,-0.21394003733568168,0.6178419426255746,0.5282910143245307,60,103,aegis_v2
674070815,mixed,False,unsafe_touchdown,False,True,False,28.05,0.5080754401567479,-0.10339426506012275,-0.29095786087714326,0.9241199437593773,0.6551069604898231,0,123,baseline
674070815,mixed,True,safe_abort,False,False,True,28.900000000000002,0.4776545264769755,0.07309329954439864,-0.21520284301261913,0.9241199437593773,0.6547121004113841,140,126,aegis_v1
674070815,mixed,True,success,True,False,False,30.25,0.3645679298923165,0.03600596686702071,-0.3138724551893566,0.6309005904508138,0.5303894134180255,73,133,aegis_v2
1511404866,mixed,False,unsafe_touchdown,False,True,False,22.3,0.630401634014608,-0.18430026604688438,-0.2254114800735075,0.8912094800569769,0.6626204489174456,0,116,baseline
1511404866,mixed,True,safe_abort,False,False,True,23.150000000000002,0.7243093768600894,0.08257516180465513,-0.1487235948567567,0.8912094800569769,0.6632698006746945,124,120,aegis_v1
1511404866,mixed,True,unsafe_touchdown,False,True,False,23.200000000000003,0.7740602373165566,-0.06515220610560266,-0.16504650612000904,0.6331354343698862,0.5329097571665954,30,120,aegis_v2
321004423,mixed,False,success,True,False,False,22.950000000000003,0.37700971667789257,-0.2312175010506564,-0.3024615872412873,0.8889755916320358,0.6517149389298417,0,92,baseline
321004423,mixed,True,safe_abort,False,False,True,20.85,0.4154191286450378,0.20252070157526186,-0.1858272216372067,0.8889755916320358,0.6514279552444866,90,83,aegis_v1
321004423,mixed,True,unsafe_touchdown,False,True,False,24.6,0.625602101462113,-0.04074769377473061,-0.27258234991454333,0.6458949502709221,0.5277080300609343,40,99,aegis_v2
375381063,mixed,False,unsafe_touchdown,False,True,False,29.200000000000003,0.7458706261264141,-0.027274057069480048,-0.18209271986472106,0.918116008256066,0.6546392087818488,0,132,baseline
375381063,mixed,True,safe_abort,False,False,True,28.75,0.7148243564092419,-0.07907154515795708,-0.14925074313772385,0.918116008256066,0.6543320120549242,137,129,aegis_v1
375381063,mixed,True,success,True,False,False,32.550000000000004,0.4197238944104372,-0.13181272165978428,-0.18376909272753011,0.6654125720160553,0.5289227739619483,126,142,aegis_v2
805527584,mixed,False,unsafe_touchdown,False,True,False,25.0,0.5205969285450365,-0.07852363841167113,-0.27613413793920216,0.955673499513241,0.6557275650901825,0,96,baseline
805527584,mixed,True,safe_abort,False,False,True,25.6,0.594788996914903,-0.13261024263957677,-0.22477298497839085,0.955673499513241,0.6553996922383051,133,98,aegis_v1
805527584,mixed,True,unsafe_touchdown,False,True,False,25.6,0.6435981867743297,-0.11364263508301319,-0.2412401565590438,0.6831096913234893,0.5324261584457446,23,98,aegis_v2
53501176,mixed,False,unsafe_touchdown,False,True,False,23.900000000000002,0.6678707887043991,-0.046153281125492135,-0.3115256604525304,0.9514604281316493,0.6585749509651454,0,106,baseline
53501176,mixed,True,safe_abort,False,False,True,25.05,0.7418422730768542,-0.06885631984736315,-0.2639892098174454,0.9514604281316493,0.6564964683892283,130,108,aegis_v1
53501176,mixed,True,unsafe_touchdown,False,True,False,24.150000000000002,0.6539495436106968,-0.05672820346472739,-0.2567062675460249,0.6748687973660532,0.533905027939952,33,106,aegis_v2
1027945333,mixed,False,unsafe_touchdown,False,True,False,28.85,0.711639338242679,0.2722681823370374,-0.20443289065567163,0.9264856676244367,0.6564611376306555,0,138,baseline
1027945333,mixed,True,safe_abort,False,False,True,29.55,0.6212003770811149,0.06991312419536577,-0.1598397452570536,0.9264856676244367,0.6553908414703705,148,139,aegis_v1
1027945333,mixed,True,unsafe_touchdown,False,True,False,30.700000000000003,0.6720656929621857,-0.12985757523237473,-0.21688424274876877,0.6225429413442166,0.5294079725629686,70,146,aegis_v2
83480456,mixed,False,unsafe_touchdown,False,True,False,27.0,0.7592714593686566,-0.07833976466225345,-0.2735192106121728,0.9404777578236898,0.6611482289396496,0,123,baseline
83480456,mixed,True,safe_abort,False,False,True,26.1,0.6928497335651993,0.024017485942092544,-0.2745300366289403,0.9404777578236898,0.6605771893641051,144,117,aegis_v1
83480456,mixed,True,unsafe_touchdown,False,True,False,27.0,0.7527108581170424,-0.10466673002427156,-0.28077914829952483,0.6404879793433632,0.534129414510154,11,123,aegis_v2
2054622638,mixed,False,unsafe_touchdown,False,True,False,19.900000000000002,0.4682817229174529,-0.023106040086327974,-0.2924148562497243,0.9033787327374732,0.6496624379388062,0,78,baseline
